109.205.132.156 - - [11/May/2023:13:15:07 +0000] "GET /favicon.ico HTTP/1.1" 200 296 "http://equip04.insjoaquimmir.cat/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
109.205.132.156 - - [11/May/2023:13:30:42 +0000] "GET /api/user HTTP/1.1" 200 652 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:44 +0000] "GET /api/routes HTTP/1.1" 200 3066 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:44 +0000] "GET /api/user HTTP/1.1" 200 651 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 651 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 652 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 652 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 651 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 651 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 651 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:30:45 +0000] "GET /api/user HTTP/1.1" 200 652 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:35 +0000] "POST /api/routes/4/inscription HTTP/1.1" 200 543 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 648 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 648 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 649 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 649 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 649 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 649 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 648 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/user HTTP/1.1" 200 648 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:36 +0000] "GET /api/routes HTTP/1.1" 200 3066 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:31:39 +0000] "DELETE /api/routes/4/uninscription HTTP/1.1" 500 14254 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:33:55 +0000] "GET /api/routes/4 HTTP/1.1" 200 745 "-" "okhttp/4.9.2"
109.205.132.156 - - [11/May/2023:13:34:28 +0000] "GET /api/routes/4 HTTP/1.1" 200 745 "-" "okhttp/4.9.2"
